,Rank,"Player (yrs, age)",Extra Base Hits,Bats
0,1.,Hank Aaron+ (23),1477,R
1,2.,Barry Bonds (22),1440,L
2,3.,Stan Musial+ (22),1377,L
3,4.,Babe Ruth+ (22),1356,L
4,5.,"Albert Pujols (20, 40)",1347,R
5,6.,Willie Mays+ (22),1323,R
6,7.,Alex Rodriguez (22),1275,R
7,8.,Ken Griffey Jr.+ (22),1192,L
8,8.,David Ortiz (20),1192,L
9,8.,Rafael Palmeiro (20),1192,L
10,11.,Lou Gehrig+ (17),1190,L
11,12.,Frank Robinson+ (21),1186,R
12,13.,Carl Yastrzemski+ (23),1157,L
13,14.,Adrian Beltre (21),1151,R
14,15.,Ty Cobb+ (24),1136,L
15,16.,Tris Speaker+ (22),1131,L
16,17.,Manny Ramirez (19),1122,R
17,18.,George Brett+ (21),1119,L
18,19.,Jimmie Foxx+ (20),1117,R
19,19.,Ted Williams+ (19),1117,L
20,21.,Eddie Murray+ (21),1099,B
21,22.,Dave Winfield+ (22),1093,R
22,23.,Jim Thome+ (22),1089,L
23,24.,"Miguel Cabrera (18, 37)",1085,R
24,25.,Carlos Beltran (20),1078,B
25,25.,Cal Ripken Jr.+ (21),1078,R
26,27.,Reggie Jackson+ (21),1075,L
27,28.,Mel Ott+ (22),1071,L
28,29.,Chipper Jones+ (19),1055,B
29,30.,Pete Rose (24),1041,B
30,31.,Andre Dawson+ (21),1039,R
31,32.,Sammy Sosa (18),1033,R
32,33.,Frank Thomas+ (19),1028,R
33,34.,Luis Gonzalez (19),1018,L
34,35.,Mike Schmidt+ (18),1015,R
35,36.,Craig Biggio+ (20),1014,R
36,37.,Rogers Hornsby+ (23),1011,R
37,38.,Ernie Banks+ (19),1009,R
38,39.,Gary Sheffield (22),1003,R
39,40.,Todd Helton (17),998,L
40,41.,Honus Wagner+ (21),996,R
41,42.,Al Simmons+ (20),995,R
42,43.,Jeff Kent (17),984,R
43,44.,Carlos Delgado (17),974,L
44,45.,Vladimir Guerrero+ (16),972,R
45,45.,Al Kaline+ (22),972,R
46,47.,Jeff Bagwell+ (15),969,R
47,48.,Tony Perez+ (23),963,R
48,49.,Robin Yount+ (20),960,R
49,50.,Fred McGriff (19),958,L
50,51.,Paul Molitor+ (21),953,R
51,51.,Willie Stargell+ (21),953,L
52,53.,Mickey Mantle+ (18),952,B
53,54.,Billy Williams+ (18),948,L
54,55.,Dwight Evans (20),941,R
55,56.,Dave Parker (19),940,L
56,57.,"Robinson Cano (16, 37)",938,L
57,57.,Eddie Mathews+ (17),938,L
58,59.,Ivan Rodriguez+ (21),934,R
59,60.,Alfonso Soriano (16),924,R
60,61.,Bobby Abreu (18),921,L
61,61.,Harold Baines+ (22),921,L
62,61.,Goose Goslin+ (18),921,L
63,64.,Willie McCovey+ (22),920,L
64,65.,Larry Walker+ (17),916,L
65,66.,Paul Waner+ (20),909,L
66,67.,Aramis Ramirez (18),905,R
67,68.,Charlie Gehringer+ (19),904,L
68,69.,Nap Lajoie+ (21),902,R
69,70.,Torii Hunter (19),890,R
70,71.,Harmon Killebrew+ (22),887,R
71,72.,Joe Carter (16),881,R
72,72.,Joe DiMaggio+ (13),881,R
73,74.,Steve Finley (19),877,L
74,75.,Harry Heilmann+ (17),876,R
75,75.,Scott Rolen (17),876,R
76,77.,Andres Galarraga (19),875,R
77,78.,Rickey Henderson+ (25),873,R
78,79.,Derek Jeter+ (20),870,R
79,80.,Vada Pinson (18),868,L
80,81.,Johnny Damon (18),866,L
81,82.,Sam Crawford+ (19),864,L
82,83.,Joe Medwick+ (17),858,R
83,84.,Paul Konerko (18),857,R
84,84.,Jimmy Rollins (17),857,B
85,86.,Jim Edmonds (17),855,L
86,87.,Jason Giambi (20),854,L
87,88.,Andruw Jones (17),853,R
88,89.,Duke Snider+ (18),850,L
89,90.,Juan Gonzalez (17),847,R
90,91.,Roberto Clemente+ (18),846,R
91,91.,Carlos Lee (14),846,R
92,93.,Garret Anderson (17),845,L
93,94.,Carlton Fisk+ (24),844,R
94,95.,Gary Gaetti (20),842,R
95,96.,Mark McGwire (16),841,R
96,97.,Edgar Martinez+ (18),838,R
97,97.,Rusty Staub (23),838,L
98,99.,Jim Bottomley+ (16),835,L
99,99.,Mark Teixeira (14),835,B
100,101.,Jim Rice+ (16),834,R
101,102.,Al Oliver (18),825,L
102,103.,Orlando Cepeda+ (17),823,R
103,104.,Cap Anson+ (27),821,R
104,105.,Lance Berkman (15),818,B
105,105.,Brooks Robinson+ (23),818,R
106,107.,Ellis Burks (18),817,R
107,108.,Jose Canseco (17),816,R
108,108.,Matt Holliday (15),816,R
109,110.,Joe Morgan+ (22),813,L
110,111.,Roger Connor+ (18),812,B
111,112.,"Ryan Braun (14, 36)",809,R
112,112.,Ed Delahanty+ (16),809,R
113,112.,Johnny Mize+ (15),809,L
114,115.,Shawn Green (15),808,L
115,116.,Adam Dunn (14),806,L
116,117.,Jake Beckley+ (20),804,L
117,117.,Chili Davis (19),804,B
118,117.,"Edwin Encarnacion (16, 37)",804,R
119,120.,Joe Cronin+ (20),803,R
120,121.,Miguel Tejada (16),798,R
121,122.,Roberto Alomar+ (17),794,B
122,122.,Johnny Bench+ (17),794,R
123,124.,Derrek Lee (15),793,R
124,124.,Ruben Sierra (20),793,B
125,126.,Moises Alou (17),792,R
126,127.,Albert Belle (12),791,R
127,127.,Bernie Williams (16),791,B
128,129.,Dale Murphy (18),787,R
129,130.,Curtis Granderson (16),785,L
130,131.,Mickey Vernon (20),782,L
131,132.,Hank Greenberg+ (13),781,R
132,133.,Raul Ibanez (19),780,L
133,133.,Zack Wheat+ (19),780,L
134,135.,Darrell Evans (21),779,L
135,135.,Bob Johnson (13),779,R
136,135.,Mike Piazza+ (16),779,R
137,138.,Ted Simmons+ (21),778,B
138,139.,Lou Brock+ (19),776,L
139,140.,Dan Brouthers+ (19),775,L
140,141.,Ron Santo+ (15),774,R
141,142.,Chuck Klein+ (17),772,L
142,143.,Will Clark (15),771,L
143,144.,John Olerud (17),768,L
144,145.,Earl Averill+ (13),767,L
145,146.,Adrian Gonzalez (15),766,L
146,147.,Tony Gwynn+ (20),763,L
147,148.,Heinie Manush+ (17),761,L
148,148.,Ryne Sandberg+ (16),761,R
149,150.,"Nelson Cruz (16, 39)",760,R
150,151.,Wade Boggs+ (18),757,L
151,152.,Bobby Bonilla (16),756,B
152,153.,Steve Garvey (19),755,R
153,154.,Brian Giles (15),753,L
154,154.,Paul O'Neill (17),753,L
155,156.,Matt Williams (17),751,R
156,157.,Dick Allen (15),750,R
157,158.,Graig Nettles (22),746,L
158,159.,Hal McRae (19),741,R
159,159.,Magglio Ordonez (15),741,R
160,161.,Fred Lynn (17),737,L
161,162.,Reggie Smith (17),734,B
162,163.,Don Baylor (19),732,R
163,164.,Enos Slaughter+ (19),730,L
164,165.,Mark Grace (16),729,L
165,165.,Lou Whitaker (19),729,L
166,167.,Yogi Berra+ (19),728,L
167,167.,Chase Utley (16),728,L
168,167.,Tim Wallach (17),728,R
169,170.,"Joey Votto (14, 36)",727,L
170,171.,Gary Carter+ (19),726,R
171,171.,Jimmy Ryan (18),726,R
172,173.,"Nick Markakis (15, 36)",725,L
173,173.,Tino Martinez (16),725,L
174,173.,Lee May (18),725,R
175,176.,"Evan Longoria (13, 34)",722,R
176,177.,Bill Buckner (22),721,L
177,178.,Mike Cameron (17),720,R
178,179.,Sam Rice+ (20),716,L
179,180.,Willie Davis (18),715,L
180,180.,Del Ennis (14),715,R
181,180.,Barry Larkin+ (19),715,R
182,183.,Ian Kinsler (14),714,R
183,184.,Jermaine Dye (14),713,R
184,184.,Gil Hodges (18),713,R
185,184.,Tim Raines+ (23),713,B
186,187.,Jack Clark (18),711,R
187,187.,Ray Durham (14),711,B
188,189.,Frankie Frisch+ (19),709,B
189,190.,Dave Kingman (16),707,R
190,191.,Reggie Sanders (17),706,R
191,192.,Cecil Cooper (17),703,L
192,193.,Dante Bichette (14),702,R
193,193.,George Foster (18),702,R
194,195.,Bobby Bonds (14),700,R
195,196.,Vinny Castilla (16),697,R
196,197.,Gabby Hartnett+ (20),696,R
197,198.,Cesar Cedeno (17),695,R
198,199.,Bobby Doerr+ (14),693,R
199,199.,"Ryan Zimmerman (15, 35)",693,R
200,201.,George Sisler+ (15),691,L
201,202.,Babe Herman (13),690,L
202,203.,George Davis+ (20),689,B
203,204.,Michael Young (14),686,R
204,205.,Don Mattingly (14),684,L
205,206.,Vernon Wells (15),683,R
206,207.,Buddy Bell (18),682,R
207,207.,"Justin Upton (14, 32)",682,R
208,209.,Ryan Howard (13),680,L
209,210.,Kiki Cuyler+ (18),679,R
210,210.,Jim O'Rourke+ (23),679,R
211,212.,Rocky Colavito (14),678,R
212,212.,Kirby Puckett+ (12),678,R
213,212.,Hanley Ramirez (15),678,R
214,215.,Greg Luzinski (15),675,R
215,216.,Sherry Magee (16),674,R
216,217.,Jose Bautista (15),673,R
217,217.,Ron Gant (16),673,R
218,217.,Todd Zeile (16),673,R
219,220.,Eddie Collins+ (25),672,L
220,220.,Chet Lemon (16),672,R
221,220.,Victor Martinez (16),672,B
222,223.,B.J. Surhoff (19),670,L
223,224.,Marquis Grissom (17),669,R
224,225.,Ken Boyer (15),668,R
225,226.,Joe Adcock (17),666,R
226,227.,Ron Cey (17),665,R
227,228.,Jorge Posada (17),664,B
228,229.,Brian Downing (20),663,R
229,229.,Joe Judge (20),663,L
230,229.,Jose Reyes (16),663,B
231,232.,Frank Howard (16),662,R
232,232.,"Matt Kemp (15, 35)",662,R
233,232.,Tim Salmon (14),662,R
234,232.,Greg Vaughn (15),662,R
235,236.,"Jay Bruce (13, 33)",661,L
236,237.,Bill Dahlen (21),660,R
237,238.,Norm Cash (17),659,L
238,239.,David Wright (14),658,R
239,240.,Devon White (17),657,B
240,241.,Jay Bell (18),656,R
241,241.,Lance Parrish (19),656,R
242,243.,Joe Torre+ (18),655,R
243,244.,Ryan Klesko (16),654,L
244,244.,Joe Kuhel (18),654,L
245,246.,Roy Sievers (17),652,R
246,246.,Alan Trammell+ (20),652,R
247,248.,Jimmy Dykes (22),651,R
248,248.,Nomar Garciaparra (14),651,R
249,250.,Jose Cruz (19),650,L
250,250.,Prince Fielder (12),650,L
251,252.,Rod Carew+ (19),649,L
252,252.,Willie Horton (18),649,R
253,252.,Larry Parrish (15),649,R
254,255.,Max Carey+ (20),648,B
255,255.,Fred Clarke+ (21),648,L
256,255.,Keith Hernandez (17),648,L
257,255.,Ray Lankford (14),648,L
258,259.,Adam Jones (14),647,R
259,260.,Bret Boone (14),646,R
260,260.,Bob Elliott (15),646,R
261,260.,Harry Stovey (14),646,R
262,260.,Robin Ventura (16),646,L
263,264.,Jeromy Burnitz (14),642,L
264,265.,Wally Joyner (16),639,L
265,265.,Raul Mondesi (13),639,R
266,265.,Bill Terry+ (14),639,L
267,268.,George Hendrick (18),637,R
268,268.,George Scott (14),637,R
269,270.,Johnny Callison (16),636,L
270,271.,Jeff Conine (17),635,R
271,272.,Julio Franco (23),634,R
272,272.,"Andrew McCutchen (12, 33)",634,R
273,272.,Wally Moses (17),634,L
274,275.,Amos Otis (17),633,R
275,276.,Cy Williams (19),631,L
276,277.,Sam Thompson+ (15),630,L
277,278.,Kenny Lofton (17),629,L
278,278.,Darryl Strawberry (17),629,L
279,280.,Tony Lazzeri+ (14),627,R
280,281.,Aubrey Huff (13),626,L
281,282.,Frank White (18),625,R
282,283.,Harry Hooper+ (17),624,L
283,283.,Ralph Kiner+ (10),624,R
284,283.,Mike Lowell (13),624,R
285,286.,Troy Glaus (13),623,R
286,286.,Kent Hrbek (14),623,L
287,286.,Hunter Pence (14),623,R
288,289.,Boog Powell (17),620,L
289,289.,Rudy York (13),620,R
290,291.,Chris Chambliss (17),619,L
291,291.,Eric Karros (14),619,R
292,291.,Bob Meusel (11),619,R
293,291.,Justin Morneau (14),619,L
294,291.,A.J. Pierzynski (19),619,L
295,296.,Bill Dickey+ (17),617,L
296,296.,Joe Kelley+ (17),617,R
297,296.,Hal Trosky (11),617,L
298,299.,Brady Anderson (15),615,L
299,299.,Billy Herman+ (15),615,R
300,299.,Jim Wynn (15),615,R
301,302.,Felipe Alou (17),614,R
302,302.,Orlando Cabrera (15),614,R
303,302.,Brandon Phillips (17),614,R
304,305.,Omar Vizquel (24),613,B
305,306.,Tom Brunansky (14),610,R
