,Year,Rank,Name,Stat
0,2020,1.,Javier Baez, 4.375
1,2020,2.,Trevor Story, 4.368
2,2020,3.,Miguel Rojas, 4.154
3,2020,4.,J.P. Crawford, 4.113
4,2020,5.,Marcus Semien, 3.887
5,2020,6.,Adalberto Mondesi, 3.881
6,2020,7.,Dansby Swanson, 3.767
7,2020,8.,Niko Goodrum, 3.742
8,2020,9.,Carlos Correa, 3.702
9,2020,10.,Corey Seager, 3.698
10,2019,1.,Adalberto Mondesi, 4.330
11,2019,2.,Trevor Story, 4.153
12,2019,3.,Tim Anderson, 4.148
13,2019,4.,J.P. Crawford, 4.118
14,2019,5.,Javier Baez, 4.116
15,2019,6.,Paul DeJong, 4.115
16,2019,7.,Andrelton Simmons, 4.049
17,2019,8.,Elvis Andrus, 4.000
18,2019,9.,Nick Ahmed, 3.918
19,2019,10.,Brandon Crawford, 3.916
20,2018,1.,Brandon Crawford, 4.295
21,2018,2.,Elvis Andrus, 4.144
22,2018,3.,Andrelton Simmons, 4.138
23,2018,4.,Marcus Semien, 4.126
24,2018,5.,Nick Ahmed, 4.034
25,2018,6.,Trevor Story, 3.930
26,2018,7.,Freddy Galvis, 3.881
27,2018,8.,Paul DeJong, 3.877
28,2018,9.,Tim Anderson, 3.841
29,2018,10.,Miguel Rojas, 3.831
30,2017,1.,Elvis Andrus, 4.701
31,2017,2.,Orlando Arcia, 4.395
32,2017,3.,Brandon Crawford, 4.312
33,2017,4.,Marcus Semien, 4.306
34,2017,5.,Andrelton Simmons, 4.247
35,2017,6.,Trevor Story, 4.218
36,2017,7.,Alcides Escobar, 4.136
37,2017,8.,José Iglesias, 4.085
38,2017,9.,Freddy Galvis, 4.065
39,2017,10.,Paul DeJong, 4.000
40,2016,1.,Trevor Story, 4.500
41,2016,2.,Marcus Semien, 4.478
42,2016,3.,Zack Cozart, 4.432
43,2016,4.,Jonathan Villar, 4.380
44,2016,5.,Elvis Andrus, 4.367
45,2016,6.,Nick Ahmed, 4.364
46,2016,7.,Andrelton Simmons, 4.315
47,2016,8.,Francisco Lindor, 4.271
48,2016,9.,José Iglesias, 4.184
49,2016,10.,Carlos Correa, 4.105
50,2015,1.,Elvis Andrus, 4.775
51,2015,2.,Andrelton Simmons, 4.619
52,2015,3.,Brandon Crawford, 4.414
53,2015,4.,Alexei Ramírez, 4.395
54,2015,5.,Jordy Mercer, 4.339
55,2015,6.,Nick Ahmed, 4.326
56,2015,7.,Jean Segura, 4.307
57,2015,8.,Eugenio Suarez, 4.292
58,2015,9.,Alcides Escobar, 4.284
59,2015,10.,Starlin Castro, 4.275
60,2014,1.,Adeiny Hechavarria, 4.370
61,2014,2.,Troy Tulowitzki, 4.360
62,2014,3.,Jean Segura, 4.354
63,2014,4.,Alexei Ramírez, 4.310
64,2014,5.,Andrelton Simmons, 4.301
65,2014,6.,Ruben Tejada, 4.263
66,2014,7.,Jimmy Rollins, 4.244
67,2014,8.,Everth Cabrera, 4.222
68,2014,9.,Jordy Mercer, 4.153
69,2014,10.,J.J. Hardy, 4.121
70,2013,1.,Pedro Florimon, 4.857
71,2013,2.,Andrelton Simmons, 4.737
72,2013,3.,Troy Tulowitzki, 4.645
73,2013,4.,Everth Cabrera, 4.642
74,2013,5.,Jean Segura, 4.569
75,2013,6.,Didi Gregorius, 4.310
76,2013,7.,Ian Desmond, 4.304
77,2013,8.,Alexei Ramírez, 4.234
78,2013,9.,Starlin Castro, 4.113
79,2013,10.,Stephen Drew, 4.097
80,2012,1.,J.J. Hardy, 4.892
81,2012,2.,Brian Dozier, 4.795
82,2012,3.,Yunel Escobar, 4.692
83,2012,4.,Asdrubal Cabrera, 4.640
84,2012,5.,Cliff Pennington, 4.538
85,2012,6.,Starlin Castro, 4.512
86,2012,7.,Mike Aviles, 4.500
87,2012,8.,Rafael Furcal, 4.350
88,2012,9.,Brendan Ryan, 4.290
89,2012,10.,Erick Aybar, 4.252
90,2011,1.,Troy Tulowitzki, 4.843
91,2011,2.,J.J. Hardy, 4.760
92,2011,3.,Ronny Cedeno, 4.704
93,2011,4.,Alcides Escobar, 4.620
94,2011,5.,Erick Aybar, 4.549
95,2011,6.,Brendan Ryan, 4.529
96,2011,7.,Starlin Castro, 4.513
97,2011,8.,Rafael Furcal, 4.471
98,2011,9.,Elvis Andrus, 4.435
99,2011,10.,Ian Desmond, 4.362
100,2010,1.,Troy Tulowitzki, 4.910
101,2010,2.,Alexei Ramírez, 4.795
102,2010,3.,Yunel Escobar, 4.679
103,2010,4.,Cliff Pennington, 4.577
104,2010,5.,Brendan Ryan, 4.511
105,2010,6.,Yuniesky Betancourt, 4.464
106,2010,7.,Asdrubal Cabrera, 4.411
107,2010,8.,J.J. Hardy, 4.390
108,2010,9.,Josh Wilson, 4.367
109,2010,10.,Elvis Andrus, 4.345
110,2009,1.,Brendan Ryan, 4.752
111,2009,2.,Elvis Andrus, 4.607
112,2009,3.,Erick Aybar, 4.544
113,2009,4.,Cesar Izturis, 4.536
114,2009,5.,Jack Wilson, 4.467
115,2009,6.,Miguel Tejada, 4.361
116,2009,7.,Ronny Cedeno, 4.354
117,2009,8.,Everth Cabrera, 4.353
118,2009,9.,Orlando Cabrera, 4.342
119,2009,10.,Cristian Guzman, 4.333
120,2008,1.,Troy Tulowitzki, 4.960
121,2008,2.,Yunel Escobar, 4.675
122,2008,3.,Jimmy Rollins, 4.439
123,2008,4.,Orlando Cabrera, 4.435
124,2008,5.,Jhonny Peralta, 4.411
125,2008,6.,J.J. Hardy, 4.359
126,2008,7.,Michael Young, 4.358
127,2008,8.,Erick Aybar, 4.333
128,2008,9.,Cristian Guzman, 4.309
129,2008,10.,Hanley Ramirez, 4.247
130,2007,1.,Troy Tulowitzki, 5.310
131,2007,2.,Rafael Furcal, 4.833
132,2007,3.,Jack Wilson, 4.802
133,2007,4.,Jhonny Peralta, 4.612
134,2007,5.,Juan Uribe, 4.587
135,2007,6.,Jason Bartlett, 4.493
136,2007,7.,Omar Vizquel, 4.490
137,2007,8.,Bobby Crosby, 4.489
138,2007,9.,Khalil Greene, 4.438
139,2007,10.,Yuniesky Betancourt, 4.434
140,2006,1.,Rafael Furcal, 4.878
141,2006,2.,Craig Counsell, 4.807
142,2006,3.,Jack Wilson, 4.763
143,2006,4.,Michael Young, 4.729
144,2006,5.,Jhonny Peralta, 4.721
145,2006,6.,Adam Everett, 4.571
146,2006,7.,David Eckstein, 4.508
147,2006,8.,Clint Barmes, 4.504
148,2006,9.,Juan Uribe, 4.470
149,2006,10.,Miguel Tejada, 4.367
150,2005,1.,Rafael Furcal, 4.993
151,2005,2.,Jack Wilson, 4.898
152,2005,3.,David Eckstein, 4.872
153,2005,4.,Alex Gonzalez, 4.742
154,2005,5.,Julio Lugo, 4.705
155,2005,6.,Juan Uribe, 4.596
156,2005,7.,Miguel Tejada, 4.569
157,2005,8.,Derek Jeter, 4.561
158,2005,9.,Cesar Izturis, 4.453
159,2005,10.,Omar Vizquel, 4.400
160,2004,1.,Bobby Crosby, 4.940
161,2004,2.,Miguel Tejada, 4.870
162,2004,3.,Carlos Guillen, 4.719
163,2004,4.,Jack Wilson, 4.654
164,2004,5.,Cristian Guzman, 4.648
165,2004,6.,Julio Lugo, 4.601
166,2004,7.,Rafael Furcal, 4.588
167,2004,8.,Jose Valentin, 4.582
168,2004,9.,Kazuo Matsui, 4.518
169,2004,10.,Angel Berroa, 4.481
170,2003,1.,Angel Berroa, 4.665
171,2003,2.,Rafael Furcal, 4.632
172,2003,3.,Ramon Santiago, 4.577
173,2003,4.,Julio Lugo, 4.547
174,2003,5.,Jack Wilson, 4.510
175,2003,6.,Miguel Tejada, 4.506
176,2003,7.,Chris Woodward, 4.456
177,2003,8.,Alex Gonzalez, 4.420
178,2003,9.,Orlando Cabrera, 4.407
179,2003,10.,Alex Rodriguez, 4.373
180,2002,1.,Juan Uribe, 4.936
181,2002,2.,Mike Bordick, 4.863
182,2002,3.,Orlando Cabrera, 4.804
183,2002,4.,Rafael Furcal, 4.740
184,2002,5.,Neifi Perez, 4.684
185,2002,6.,Jose Hernandez, 4.664
186,2002,7.,Shane Halter, 4.630
187,2002,8.,Jack Wilson, 4.546
188,2002,9.,Miguel Tejada, 4.525
189,2002,10.,Alex Rodriguez, 4.512
190,2001,1.,Alex Gonzalez, 4.922
191,2001,2.,Neifi Perez, 4.782
192,2001,3.,Rey Sanchez, 4.703
193,2001,4.,Orlando Cabrera, 4.691
194,2001,5.,Alex Rodriguez, 4.540
195,2001,6.,D'Angelo Jimenez, 4.529
196,2001,7.,Miguel Tejada, 4.500
197,2001,8.,Rich Aurilia, 4.490
198,2001,9.,Jack Wilson, 4.467
199,2001,10.,Julio Lugo, 4.391
200,2000,1.,Felix Martinez, 5.274
201,2000,2.,Neifi Perez, 5.006
202,2000,3.,Jose Valentin, 4.887
203,2000,4.,Pat Meares, 4.698
204,2000,5.,Rey Sanchez, 4.685
205,2000,6.,Alex Rodriguez, 4.601
206,2000,7.,Miguel Tejada, 4.588
207,2000,8.,Damian Jackson, 4.568
208,2000,9.,Royce Clayton, 4.568
209,2000,10.,Deivi Cruz, 4.513
210,1999,1.,Rey Sanchez, 5.179
