,Year,Rank,Name,Stat
0,2020,1.,Starling Marte, 61
1,2020,2.,Trent Grisham, 59
2,2020,3.,Nicholas Castellanos, 57
3,2020,3.,Kyle Lewis, 57
4,2020,5.,Victor Reyes, 56
5,2020,5.,Luis Robert, 56
6,2020,5.,Adam Duvall, 56
7,2020,5.,Ian Happ, 56
8,2020,9.,Jackie Bradley Jr., 55
9,2020,9.,Brandon Nimmo, 55
10,2019,1.,Ronald Acuna Jr., 156
11,2019,1.,Kevin Pillar, 156
12,2019,3.,Bryce Harper, 152
13,2019,3.,Victor Robles, 152
14,2019,5.,Kole Calhoun, 150
15,2019,5.,Juan Soto, 150
16,2019,7.,Michael Conforto, 149
17,2019,8.,Yasiel Puig, 146
18,2019,8.,Alex Gordon, 146
19,2019,10.,Jackie Bradley Jr., 145
20,2019,10.,Adam Eaton, 145
21,2018,1.,Nick Markakis, 160
22,2018,2.,Bryce Harper, 156
23,2018,2.,Mitch Haniger, 156
24,2018,4.,Ender Inciarte, 155
25,2018,5.,Andrew McCutchen, 152
26,2018,6.,Charlie Blackmon, 151
27,2018,6.,Stephen Piscotty, 151
28,2018,8.,Billy Hamilton, 150
29,2018,8.,Max Kepler, 150
30,2018,10.,Marcell Ozuna, 147
31,2017,1.,Charlie Blackmon, 158
32,2017,2.,Nick Markakis, 156
33,2017,2.,Ender Inciarte, 156
34,2017,4.,Christian Yelich, 155
35,2017,5.,Kole Calhoun, 154
36,2017,6.,Marcell Ozuna, 153
37,2017,6.,Mookie Betts, 153
38,2017,6.,Kevin Pillar, 153
39,2017,9.,Andrew McCutchen, 152
40,2017,10.,Justin Upton, 151
41,2017,10.,Lorenzo Cain, 151
42,2017,10.,Adam Duvall, 151
43,2016,1.,Mookie Betts, 157
44,2016,2.,Jackie Bradley Jr., 156
45,2016,2.,Ian Desmond, 156
46,2016,2.,Adam Eaton, 156
47,2016,5.,Odubel Herrera, 155
48,2016,6.,Kole Calhoun, 154
49,2016,7.,Adam Jones, 152
50,2016,8.,Andrew McCutchen, 151
51,2016,8.,Matt Kemp, 151
52,2016,10.,Nick Markakis, 150
53,2016,10.,Justin Upton, 150
54,2016,10.,Stephen Piscotty, 150
55,2015,1.,Kevin Pillar, 158
56,2015,2.,Kole Calhoun, 157
57,2015,3.,Mike Trout, 156
58,2015,4.,Charlie Blackmon, 155
59,2015,5.,Yoenis Céspedes, 153
60,2015,5.,Nick Markakis, 153
61,2015,7.,Andrew McCutchen, 152
62,2015,7.,Dexter Fowler, 152
63,2015,9.,AJ Pollock, 151
64,2015,9.,Starling Marte, 151
65,2015,9.,Bryce Harper, 151
66,2015,9.,Carlos Gonzalez, 151
67,2014,1.,Hunter Pence, 161
68,2014,2.,Alex Gordon, 156
69,2014,3.,Adam Jones, 155
70,2014,4.,Austin Jackson, 154
71,2014,5.,Leonys Martín, 152
72,2014,6.,Curtis Granderson, 151
73,2014,6.,Marcell Ozuna, 151
74,2014,8.,Justin Upton, 150
75,2014,8.,Matt Holliday, 150
76,2014,10.,Jason Heyward, 149
77,2014,10.,Marlon Byrd, 149
78,2014,10.,Mike Trout, 149
79,2013,1.,Hunter Pence, 162
80,2013,2.,Jay Bruce, 160
81,2013,3.,Adam Jones, 156
82,2013,4.,Alex Gordon, 155
83,2013,4.,Alex Rios, 155
84,2013,4.,Gerardo Parra, 155
85,2013,4.,Andrew McCutchen, 155
86,2013,4.,Nick Markakis, 155
87,2013,9.,Shin-Soo Choo, 153
88,2013,9.,Denard Span, 153
89,2012,1.,Adam Jones, 162
90,2012,2.,Alex Gordon, 160
91,2012,3.,Hunter Pence, 159
92,2012,4.,Curtis Granderson, 157
93,2012,5.,Andrew McCutchen, 156
94,2012,5.,Alex Rios, 156
95,2012,5.,Ichiro Suzuki, 156
96,2012,5.,Jason Heyward, 156
97,2012,9.,Shane Victorino, 154
98,2012,9.,Jay Bruce, 154
99,2012,9.,Shin-Soo Choo, 154
100,2011,1.,Justin Upton, 159
101,2011,1.,Matt Kemp, 159
102,2011,3.,Nick Markakis, 157
103,2011,3.,Drew Stubbs, 157
104,2011,5.,Michael Bourn, 156
105,2011,5.,Brett Gardner, 156
106,2011,7.,Curtis Granderson, 155
107,2011,7.,Juan Pierre, 155
108,2011,7.,Jay Bruce, 155
109,2011,7.,Chris Young, 155
110,2011,7.,Andrew McCutchen, 155
111,2010,1.,Ichiro Suzuki, 160
112,2010,2.,Nick Markakis, 159
113,2010,3.,Matt Kemp, 158
114,2010,4.,Chris Young, 156
115,2010,5.,Hunter Pence, 155
116,2010,5.,Matt Holliday, 155
117,2010,7.,Melvin Upton Jr., 154
118,2010,8.,Denard Span, 153
119,2010,8.,Ryan Braun, 153
120,2010,8.,Jayson Werth, 153
121,2009,1.,Nick Markakis, 161
122,2009,2.,Curtis Granderson, 160
123,2009,3.,Matt Kemp, 158
124,2009,3.,Ryan Braun, 158
125,2009,3.,Andre Ethier, 158
126,2009,6.,Hunter Pence, 157
127,2009,6.,Jayson Werth, 157
128,2009,8.,Vernon Wells, 155
129,2009,8.,Matt Holliday, 155
130,2009,10.,Carl Crawford, 154
131,2009,10.,Michael Bourn, 154
132,2009,10.,Carlos Lee, 154
133,2009,10.,Jeff Francoeur, 154
134,2008,1.,Ichiro Suzuki, 160
135,2008,2.,Chris Young, 159
136,2008,3.,Carlos Beltran, 158
137,2008,4.,Corey Hart, 156
138,2008,4.,Nick Markakis, 156
139,2008,4.,Hunter Pence, 156
140,2008,7.,Pat Burrell, 155
141,2008,8.,Jason Bay, 154
142,2008,9.,Raul Ibanez, 153
143,2008,10.,Jeff Francoeur, 152
144,2007,1.,Jeff Francoeur, 162
145,2007,1.,Juan Pierre, 162
146,2007,3.,Alex Rios, 161
147,2007,3.,Nick Markakis, 161
148,2007,3.,Aaron Rowand, 161
149,2007,6.,Grady Sizemore, 160
150,2007,6.,Delmon Young, 160
151,2007,6.,Eric Byrnes, 160
152,2007,9.,Austin Kearns, 159
153,2007,10.,Bobby Abreu, 157
154,2007,10.,Carlos Lee, 157
155,2007,10.,Curtis Granderson, 157
156,2007,10.,Matt Holliday, 157
157,2006,1.,Juan Pierre, 162
158,2006,1.,Jeff Francoeur, 162
159,2006,3.,Grady Sizemore, 160
160,2006,4.,Ichiro Suzuki, 159
161,2006,5.,Brian Giles, 158
162,2006,5.,Alfonso Soriano, 158
163,2006,7.,Raul Ibanez, 157
164,2006,7.,Jason Bay, 157
165,2006,7.,Curtis Granderson, 157
166,2006,10.,Adam Dunn, 156
167,2005,1.,Carlos Lee, 162
168,2005,1.,Jason Bay, 162
169,2005,3.,Jeromy Burnitz, 160
170,2005,3.,Juan Pierre, 160
171,2005,5.,Andruw Jones, 159
172,2005,6.,Bobby Abreu, 158
173,2005,6.,Ichiro Suzuki, 158
174,2005,8.,Aaron Rowand, 157
175,2005,9.,Craig Monroe, 156
176,2005,10.,Vernon Wells, 155
177,2005,10.,Grady Sizemore, 155
178,2005,10.,Shawn Green, 155
179,2005,10.,Brian Giles, 155
180,2004,1.,Juan Pierre, 162
181,2004,2.,Lance Berkman, 160
182,2004,2.,Hideki Matsui, 160
183,2004,4.,Brian Giles, 159
184,2004,5.,Ichiro Suzuki, 158
185,2004,5.,Miguel Cabrera, 158
186,2004,5.,Steve Finley, 158
187,2004,5.,Bobby Abreu, 158
188,2004,5.,Carlos Beltran, 158
189,2004,10.,Corey Patterson, 157
190,2003,1.,Vernon Wells, 161
191,2003,1.,Juan Pierre, 161
192,2003,3.,Ichiro Suzuki, 159
193,2003,3.,Hideki Matsui, 159
194,2003,5.,Jose Cruz, 158
195,2003,5.,Bobby Abreu, 158
196,2003,7.,Randy Winn, 157
197,2003,7.,Magglio Ordonez, 157
198,2003,7.,Shawn Green, 157
199,2003,10.,Carlos Lee, 156
200,2002,1.,Terrence Long, 162
201,2002,2.,Vladimir Guerrero, 161
202,2002,3.,Vernon Wells, 159
203,2002,4.,Pat Burrell, 157
204,2002,5.,Lance Berkman, 156
205,2002,5.,Shawn Green, 156
206,2002,7.,Mike Cameron, 155
207,2002,8.,Bobby Abreu, 154
208,2002,8.,Andruw Jones, 154
209,2002,10.,Trot Nixon, 152
210,2002,10.,Ichiro Suzuki, 152
211,2002,10.,Chipper Jones, 152
212,2001,1.,Terrence Long, 162
213,2001,1.,Bobby Abreu, 162
